step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.450537277777237,0,0.0,0.9342243336206365,0,0.0
10.0,0,0.0,0.0,12.440507800457056,0,0.0,0.8587820349489587,0,0.0
15.0,5,8.0,0.5,6.613290443419331,5,8.0,0.32408729922526,5,8.0
20.0,8,46.0,3.066666666666667,6.416314308526803,8,46.0,0.31784082990519846,8,46.0
25.0,11,90.0,5.625,3.5010346055072823,11,90.0,0.14216142872827442,11,90.0
30.0,8,89.0,5.5625,4.329431624523881,8,113.0,0.29195485603333343,8,113.0
35.0,10,132.0,7.333333333333333,5.375259451273049,10,132.0,0.22407493676665038,10,132.0
40.0,12,188.0,7.833333333333333,6.267868467826051,12,188.0,0.33313483227448176,12,188.0
45.0,14,252.0,11.454545454545455,4.593731225658363,14,252.0,0.3058698282155769,14,252.0
50.0,16,328.0,13.666666666666666,4.150644158815822,16,328.0,0.16357785026141486,16,328.0
55.0,18,413.0,15.884615384615385,4.403578266581929,18,413.0,0.17620284805929487,18,413.0
60.0,14,295.0,13.409090909090908,1.8569466158786125,14,405.0,0.10253317900759358,14,405.0
65.0,12,320.0,12.307692307692308,5.82652377022841,12,351.0,0.27132442023184766,12,351.0
70.0,16,390.0,15.0,4.507404471762507,16,421.0,0.13831078254487622,16,421.0
75.0,20,478.0,14.9375,4.621987347231377,20,509.0,0.2938648193023231,20,509.0
80.0,20,578.0,19.266666666666666,4.191593330352993,20,609.0,0.3032494136289073,20,609.0
85.0,23,683.0,20.08823529411765,2.9127576606682823,23,714.0,0.166817586916617,23,714.0
90.0,28,813.0,23.91176470588235,2.0366905225165333,28,844.0,0.09731262015802354,28,844.0
95.0,24,531.0,15.17142857142857,1.8741472107384856,24,822.0,0.09131764467574637,24,822.0
100.0,16,284.0,7.888888888888889,4.056045824449408,16,658.0,0.16755642219724892,16,658.0
105.0,14,339.0,8.921052631578947,6.345196156992756,14,470.0,0.24771330696378716,14,470.0
110.0,14,326.0,8.15,6.103313016245775,14,496.0,0.301603559947117,14,496.0
115.0,20,416.0,11.555555555555555,4.855982395458077,20,547.0,0.23360394452477456,20,547.0
120.0,18,224.0,6.588235294117647,3.790683568342457,18,519.0,0.18254869272678392,18,519.0
125.0,12,138.0,4.0588235294117645,4.499679289247973,12,393.0,0.22126014223485008,12,393.0
130.0,12,100.0,2.9411764705882355,4.446320121984975,12,374.0,0.16353689742809713,12,374.0
135.0,12,80.0,2.3529411764705883,5.394136721729423,12,311.0,0.2474896899612266,12,311.0
140.0,13,89.0,2.78125,4.51892133035796,13,347.0,0.1669189479589068,13,347.0
145.0,20,174.0,5.117647058823529,4.680561802422857,20,405.0,0.22167257832528792,20,405.0
