step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.469736307514431,0,0.0,0.8298129598512421,0,0.0
10.0,0,0.0,0.0,11.346138573557687,0,0.0,0.8206147350581262,0,0.0
15.0,2,3.0,0.1875,6.878502802424986,2,3.0,0.35999449005344003,2,3.0
20.0,6,25.0,1.5625,6.105744358845621,6,25.0,0.2900598519922279,6,25.0
25.0,10,64.0,3.5555555555555554,5.017016509804599,10,64.0,0.27091598433792774,10,64.0
30.0,7,67.0,3.7222222222222223,5.735454158449358,7,86.0,0.3085484384104499,7,86.0
35.0,9,106.0,6.235294117647059,4.8553117045034755,9,106.0,0.22940016347611836,9,106.0
40.0,5,67.0,2.9130434782608696,7.494666312039565,5,98.0,0.4591154714106961,5,98.0
45.0,6,93.0,4.428571428571429,8.075006717940486,6,93.0,0.48772962327666564,6,93.0
50.0,3,7.0,0.30434782608695654,7.351683663985566,3,67.0,0.34908859536221987,3,67.0
55.0,6,28.0,1.3333333333333333,8.132425367792171,6,32.0,0.41495919076325366,6,32.0
60.0,9,63.0,3.3157894736842106,6.195383150151026,9,63.0,0.15907423159395295,9,63.0
65.0,10,113.0,5.947368421052632,5.281887428118865,10,113.0,0.27524266818550963,10,113.0
70.0,8,140.0,8.235294117647058,4.250560656995788,8,144.0,0.24430081010962823,8,144.0
75.0,10,187.0,7.1923076923076925,7.368594902715454,10,187.0,0.43487155363506524,10,187.0
80.0,10,237.0,9.115384615384615,7.792799566064853,10,237.0,0.46328986366940705,10,237.0
85.0,13,292.0,10.814814814814815,4.658381145052894,13,292.0,0.22460762176184013,13,292.0
90.0,16,370.0,15.416666666666666,3.730957196637944,16,370.0,0.19422146695783546,16,370.0
95.0,16,450.0,18.0,3.6238757787314864,16,450.0,0.17702779338775465,16,450.0
100.0,20,543.0,20.884615384615383,3.124671111402423,20,543.0,0.15966358357086055,20,543.0
105.0,20,643.0,24.73076923076923,1.6332053547733034,20,643.0,0.12878785444072577,20,643.0
110.0,18,470.0,14.6875,3.7656792067179867,18,631.0,0.2698777341280899,18,631.0
115.0,16,502.0,14.764705882352942,5.805189342999962,16,550.0,0.3189372922506123,16,550.0
120.0,22,598.0,17.58823529411765,4.103935153121629,22,646.0,0.15457170242868376,22,646.0
125.0,27,721.0,21.848484848484848,2.1858117592244244,27,769.0,0.12686924619257492,27,769.0
130.0,22,723.0,22.59375,1.6040048211693736,22,839.0,0.09580526700090088,22,839.0
135.0,22,823.0,22.86111111111111,4.413089901608111,22,871.0,0.18644413444802935,22,871.0
140.0,24,935.0,25.97222222222222,3.2618972268652766,24,983.0,0.07355530594866821,24,983.0
145.0,26,1063.0,27.256410256410255,3.866792292699859,26,1111.0,0.20998842854094377,26,1111.0
150.0,28,1196.0,31.473684210526315,3.019736544382818,28,1244.0,0.21821581043454705,28,1244.0
155.0,24,768.0,20.210526315789473,2.308784542786993,24,1169.0,0.15417138095827917,24,1169.0
160.0,19,367.0,8.738095238095237,4.044877459252824,19,920.0,0.1857250113026979,19,920.0
165.0,12,306.0,7.285714285714286,4.399240609562674,12,812.0,0.13154123756222222,12,812.0
170.0,18,384.0,9.142857142857142,4.9081609618480035,18,849.0,0.1768752773708387,18,849.0
175.0,19,441.0,11.605263157894736,3.9799953591636297,19,806.0,0.12715780428977422,19,806.0
180.0,14,493.0,13.324324324324325,5.181703405740396,14,683.0,0.1696675555444633,14,683.0
185.0,15,568.0,14.564102564102564,7.256967756897941,15,624.0,0.32414886294358103,15,624.0
190.0,17,589.0,15.91891891891892,4.87167117967448,17,645.0,0.16940553571656025,17,645.0
