step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.245610471943735,0,0.0,1.0,0,0.0,0.9236862915940883,0,0.0,0.8987355594353944,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.914056970572242,0,0.0,1.0,0,0.0,0.963617621095722,0,0.0,0.9742049192252862,0,0.0,1.0,0,0.0
15.0,1,1.0,0.16666666666666666,10.455694411837653,0,0.0,0.9832721079576657,0,0.0,0.9800486983979534,1,1.0,0.6049461118470857,0,0.0,1.0,1,1.0
20.0,1,6.0,0.6666666666666666,9.836619686591185,0,0.0,0.9174043055310094,0,0.0,0.8844515509034051,1,6.0,0.48110060123733256,0,0.0,0.9158160772222794,1,6.0
25.0,3,17.0,1.5454545454545454,9.298584526262433,0,0.0,0.5112993273887618,0,0.0,0.9144316139481594,3,17.0,0.3855780130236668,0,0.0,0.9869513236094478,3,17.0
30.0,5,35.0,2.9166666666666665,7.904284350694584,1,2.0,0.0,0,0.0,0.9974516809205994,4,33.0,0.29542829227280665,0,0.0,0.9374065159507577,5,35.0
35.0,5,55.0,4.230769230769231,7.927769460864165,0,0.0,0.9929427910701056,0,0.0,1.0,5,55.0,0.16672161506507835,0,0.0,0.8795250952290168,5,55.0
40.0,5,80.0,5.714285714285714,6.8696858629834585,0,0.0,0.9627620894909283,0,2.0,0.9259275740106325,5,80.0,0.0025081244478705692,0,0.0,0.6427452885948184,5,82.0
45.0,9,116.0,6.823529411764706,5.606514121437265,0,0.0,0.763857630307983,0,2.0,0.9227773665742429,6,109.0,0.14285981617912058,3,7.0,0.0022133418412618564,9,118.0
50.0,7,143.0,7.15,5.31302743364918,1,4.0,0.6540284890720864,0,2.0,0.36267218171642,6,139.0,0.31686438089185454,0,10.0,0.12313800182339488,7,155.0
55.0,9,185.0,7.708333333333333,6.2971641026475185,2,12.0,0.5460734064448246,1,6.0,0.6431213121973859,6,169.0,0.27144205156244594,0,0.0,1.0,9,187.0
60.0,14,244.0,9.76,5.241729993535719,4,27.0,0.21206853560149852,1,11.0,0.7204170665371944,9,208.0,0.1303417559504134,0,2.0,0.828058565581984,14,248.0
65.0,17,322.0,12.88,4.222214059577222,6,52.0,0.21370882516989734,1,16.0,0.48605731804214275,10,256.0,0.08078641733708479,0,2.0,0.9742617345909098,17,326.0
70.0,17,407.0,14.03448275862069,4.995768835875932,6,82.0,0.3933834290198188,1,21.0,0.3506375751701679,10,306.0,0.13938109958295927,0,0.0,0.9432807544194001,17,409.0
75.0,20,498.0,17.17241379310345,2.7627046826593102,7,114.0,0.17730926087945711,2,28.0,0.0008631734373915328,11,358.0,0.0028791759440287557,0,0.0,1.0,20,500.0
80.0,23,605.0,20.166666666666668,2.7266280959187688,10,159.0,0.08732282932280776,1,31.0,0.0,12,417.0,0.12328458551556239,0,0.0,1.0,23,607.0
85.0,24,722.0,24.896551724137932,2.320925064473666,10,209.0,0.08427799564832951,1,36.0,0.5,13,479.0,0.06517724987275622,0,2.0,0.9587215785950844,24,726.0
90.0,23,803.0,27.689655172413794,2.563322401823597,10,259.0,0.08850807438283871,0,0.0,0.9727606851125602,13,544.0,0.06870003521627667,0,2.0,0.9608109632972694,23,805.0
95.0,23,918.0,29.612903225806452,3.0592404784051057,10,309.0,0.22509532986479014,0,0.0,0.3975354269945283,13,609.0,0.06534301498026769,0,0.0,1.0,23,918.0
100.0,23,1033.0,32.28125,3.1283937298004725,10,359.0,0.1805451547020452,0,0.0,1.0,13,674.0,0.1285140054350433,0,0.0,1.0,23,1033.0
105.0,24,1150.0,37.096774193548384,2.0812048442378015,11,411.0,0.13590296116125403,0,0.0,1.0,13,739.0,0.06660812758303879,0,0.0,0.9258923891854747,24,1150.0
110.0,26,1278.0,37.588235294117645,2.543749293406903,12,470.0,0.1865791212547208,0,0.0,1.0,14,808.0,0.09768952224775729,0,0.0,0.9199647382204638,26,1278.0
115.0,29,1414.0,39.27777777777778,1.8217082144578884,14,533.0,0.03986469077353526,0,0.0,0.7774017197410178,15,881.0,0.11005814853578752,0,0.0,1.0,29,1414.0
120.0,30,1555.0,39.87179487179487,2.504986051352745,16,607.0,3.493807249970963e-05,0,0.0,0.9133026518117492,14,948.0,0.12082492652416518,0,0.0,1.0,30,1555.0
125.0,31,1708.0,44.94736842105263,2.183690062326457,16,687.0,0.0,0,0.0,0.8603928085951966,15,1021.0,0.0625030165741105,0,0.0,1.0,31,1708.0
130.0,32,1865.0,49.078947368421055,1.3550113506682382,16,767.0,0.0,1,2.0,0.1100377838171268,15,1096.0,0.0,0,0.0,0.9255068414349004,32,1865.0
135.0,34,2032.0,53.473684210526315,0.7398143531063792,16,847.0,0.02387081758611698,3,14.0,3.2810640571382964e-05,15,1171.0,0.00164443963124169,0,0.0,0.9055017058919351,34,2032.0
140.0,33,2180.0,55.8974358974359,1.1700621851159891,17,929.0,0.05557812698220875,0,14.0,0.20850981593243795,16,1251.0,0.04473813886705924,0,0.0,1.0,33,2194.0
145.0,34,2346.0,58.65,1.7675025903775634,17,1014.0,0.10525680541613153,0,0.0,1.0,17,1332.0,1.6055118522382495e-05,0,2.0,0.795819444360315,34,2348.0
150.0,34,2516.0,58.51162790697674,2.422271015297694,17,1099.0,0.09678379972416512,0,0.0,0.9891607677612211,17,1417.0,0.007635310467541932,0,2.0,0.9395346370739065,34,2518.0
