step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.19647751073353,0,0.0,1.0,0,0.0,1.0,0,0.0,0.567793163118326,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.21487944798671926,0,0.0
10.0,0,0.0,0.0,8.15249029045923,0,0.0,1.0,0,0.0,1.0,0,0.0,0.97968364550605,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3809354267681804,0,0.0,1.0,0,0.0,0.5655135234587597,0,0.0
15.0,1,0.0,0.0,9.358398223013497,0,0.0,0.4638496794340457,0,0.0,1.0,1,0.0,0.45785062541630656,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9949771712737754,0,0.0,1.0,0,0.0,0.7712876194978038,1,0.0
20.0,0,0.0,0.0,10.868596941850196,0,0.0,0.9532296886122129,0,0.0,1.0,0,0.0,0.6708257181800504,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5426260241570418,0,0.0,1.0,0,0.0,0.9419213007067131,0,0.0
25.0,1,0.0,0.0,9.95661879147125,0,0.0,0.9846357569139503,0,0.0,0.9335432702308493,0,0.0,0.9232211261854361,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.5933023098552953,0,0.0,0.23435964596541695,0,0.0,0.7444017289136693,1,0.0
30.0,1,3.0,0.2,8.968008928551926,0,0.0,1.0,0,0.0,0.8998225949801933,0,0.0,0.9611295144629304,0,0.0,0.9409519977818828,0,0.0,1.0,0,0.0,0.3592812452861252,0,0.0,0.6483145798652898,0,0.0,0.9451380401065308,1,3.0,0.3987611281216713,1,3.0
35.0,4,14.0,0.7777777777777778,8.783940187443527,0,0.0,1.0,0,0.0,0.5182296968495115,0,0.0,0.9653484661312755,0,0.0,0.9109905700391437,0,0.0,1.0,0,0.0,0.7033529594259282,0,0.0,0.7717995053026939,1,0.0,0.49718465993034044,3,14.0,0.24786554732379792,4,14.0
40.0,6,35.0,1.75,8.264431004395703,0,0.0,0.9409519977818828,1,4.0,0.4644510943858923,1,0.0,0.17170908553516165,0,0.0,1.0,0,0.0,1.0,0,0.0,0.972666516352087,0,0.0,0.8649730603356744,0,0.0,0.7567871829438702,4,31.0,0.0001805166033850669,6,35.0
45.0,8,65.0,2.8260869565217392,7.560725381697674,0,0.0,0.735014941822143,1,9.0,0.009078701368599049,1,3.0,0.49439201635485175,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9490682265446712,1,2.0,0.7224139358830457,0,0.0,0.9127863534765157,5,51.0,0.0,8,65.0
50.0,8,104.0,4.333333333333333,7.688363375793979,0,0.0,0.6393673480828315,2,18.0,4.467193152500092e-05,1,8.0,0.7098186719228139,0,0.0,1.0,0,0.0,0.9925634492998491,0,0.0,0.45516549654782823,1,5.0,0.48952373190472276,0,0.0,0.9535927865930791,4,71.0,0.28393946529584735,8,102.0
