step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,6.86040477589704,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6603310486987558,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3374497273572811,0,0.0
10.0,0,0.0,0.0,8.706521720276061,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9627183164918535,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4360641974221634,0,0.0,1.0,0,0.0,0.5563605088792292,0,0.0
15.0,1,0.0,0.0,10.035978813116067,0,0.0,0.5640930868957704,0,0.0,1.0,1,0.0,0.47873641713656023,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9898598280600713,0,0.0,1.0,0,0.0,0.7849105141632751,1,0.0
20.0,0,0.0,0.0,11.201826397443611,0,0.0,0.9324878299357569,0,0.0,1.0,0,0.0,0.6682353948129784,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5794659902309771,0,0.0,1.0,0,0.0,0.9257336567792266,0,0.0
25.0,1,0.0,0.0,9.130526922830773,0,0.0,0.9258390186331276,0,0.0,1.0,0,0.0,0.6340273813742058,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.617826183343452,0,0.0,0.35205358582946605,0,0.0,0.656199053034379,1,0.0
30.0,4,10.0,0.6666666666666666,7.690351358481723,0,0.0,0.9079248644842904,0,0.0,1.0,1,5.0,0.6355284009905833,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4237919228602093,1,1.0,0.5702127460279034,0,0.0,0.9384844897852815,2,4.0,0.2903712916192746,4,10.0
35.0,2,6.0,0.3333333333333333,8.021271346648655,0,0.0,1.0,0,2.0,0.43991868381638977,0,0.0,0.5448648451181832,0,0.0,1.0,0,0.0,1.0,0,2.0,0.6475683262182691,1,6.0,0.6761093921814275,1,0.0,0.6601391219608753,0,7.0,0.152812886181674,2,17.0
40.0,3,12.0,0.6,10.40552586178119,0,0.0,1.0,0,2.0,0.9273081403868946,2,1.0,0.11777916438565246,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8910677530990747,1,11.0,0.7656754172136689,0,0.0,0.8489038367566115,0,0.0,1.0,3,14.0
45.0,4,24.0,1.0434782608695652,8.949385358987353,0,0.0,0.6185900711943778,0,2.0,0.8812328055513151,1,6.0,0.48185801886264135,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8697440617714122,2,18.0,0.5208591236716186,0,0.0,0.5911689251213278,1,0.0,0.0,4,26.0
50.0,9,32.0,1.28,5.6793990834898205,0,0.0,0.6919298403089058,2,7.0,0.0005024555400817343,1,11.0,0.6744612407217494,0,0.0,1.0,0,0.0,1.0,4,6.0,0.14558645187822858,1,9.0,0.44316362939909487,1,3.0,0.49469814837503473,0,0.0,0.3772476307172523,9,36.0
55.0,11,81.0,3.0,6.6110929013515705,0,0.0,0.9553118901163249,2,17.0,0.0,1,16.0,0.6797666371140288,0,2.0,0.9946959649464996,0,0.0,1.0,6,30.0,0.00039552760748828966,1,10.0,0.2463648460823629,1,8.0,0.6619917617007285,0,0.0,0.9648559156153775,11,83.0
