step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,6.815824104717467,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6325461990607506,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.38597761742246145,0,0.0
10.0,0,0.0,0.0,8.543383387817338,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9394640002051663,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5539732348225724,0,0.0,1.0,0,0.0,0.5378504178273965,0,0.0
15.0,1,0.0,0.0,9.48931583177136,0,0.0,0.5580171872213415,0,0.0,1.0,1,0.0,0.4671485795107952,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9759718322912456,0,0.0,1.0,0,0.0,0.743271441066916,1,0.0
20.0,0,0.0,0.0,10.954712410736589,0,0.0,0.9206904099180241,0,0.0,1.0,0,0.0,0.7719186034901528,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5654495911025236,0,0.0,1.0,0,0.0,0.8960608261846106,0,0.0
25.0,1,0.0,0.0,10.57842064884501,0,0.0,0.9417831650282612,0,0.0,0.8981940630056799,0,0.0,0.9937121568714825,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.5958495422089165,0,0.0,0.32078980969954624,0,0.0,0.8786661061971286,1,0.0
30.0,0,0.0,0.0,11.31452695711305,0,0.0,0.8428558625836252,0,0.0,0.9097393032369356,0,0.0,0.9571738533849918,0,0.0,0.9977468112881179,0,0.0,1.0,0,0.0,0.7133357551373328,0,0.0,0.6960336461020675,0,0.0,0.9645016099572608,0,0.0,0.9566722421174405,0,0.0
35.0,2,1.0,0.05555555555555555,9.216682280299928,1,1.0,0.005087405028986841,0,0.0,0.13991861759288204,0,0.0,0.9538619347688306,0,0.0,0.9474025046337392,0,0.0,1.0,0,0.0,0.804234450606964,0,0.0,0.8249513448073682,1,0.0,0.4893360258098214,0,0.0,0.21200969067534567,2,1.0
40.0,5,16.0,0.8,7.61814776217025,1,6.0,0.0,1,4.0,0.00012311383590850019,1,0.0,0.21555428458895307,0,0.0,0.550908209923813,0,0.0,1.0,1,1.0,0.6344670628602096,0,0.0,0.9332988194034882,0,0.0,0.838091876770015,1,5.0,7.290295387488521e-06,5,16.0
45.0,7,31.0,1.3478260869565217,6.0422647943173144,1,11.0,0.25336664501344,0,0.0,1.0,1,3.0,0.4942237792796294,1,3.0,0.00037125284531342785,0,0.0,1.0,0,1.0,0.6326247186418732,2,4.0,0.5467478345476294,0,0.0,0.5075859931279021,2,10.0,0.0,7,32.0
50.0,4,37.0,1.48,7.925089457058308,0,2.0,0.8482179502965866,0,0.0,1.0,1,10.0,0.7575983480195717,1,8.0,0.0,0,0.0,1.0,0,0.0,0.33179634628658194,1,6.0,0.4418921117924437,0,0.0,0.9375620770458662,1,15.0,0.4388333019893269,4,41.0
55.0,8,68.0,2.5185185185185186,8.28323665349975,0,2.0,0.9400387747535213,0,2.0,0.9206904099180241,1,15.0,0.7402448427627203,1,13.0,0.0,0,1.0,0.9232840994954687,2,4.0,0.000891543303915935,3,18.0,0.16620133958005973,0,2.0,0.9826748061989705,1,20.0,0.6607101524293819,8,77.0
60.0,8,64.0,2.1333333333333333,6.1041843028826115,1,3.0,0.6529618963204458,0,0.0,0.6329989137029018,1,4.0,0.4815288430184288,1,18.0,0.0,0,1.0,0.5631580147100249,2,14.0,0.0,1,17.0,0.3684422652412894,1,5.0,0.4539466804614696,1,25.0,0.49677211710011115,8,87.0
65.0,11,86.0,2.606060606060606,6.519400007095318,1,8.0,0.46206912837702535,2,1.0,0.30148546809115295,3,16.0,0.3432503361044445,0,0.0,1.0,0,0.0,1.0,2,26.0,0.475900161707951,0,3.0,0.8418422182676405,1,10.0,0.6147330156985126,2,35.0,0.38267953844307445,11,99.0
70.0,8,103.0,2.942857142857143,7.274385561652574,1,15.0,0.4063283373093238,1,6.0,0.647068327682484,0,14.0,0.6003246004816105,0,0.0,1.0,0,0.0,1.0,2,36.0,0.5589877250604088,0,0.0,0.9458391455954253,1,9.0,0.6781434785005872,3,47.0,0.21380181813030857,8,127.0
75.0,7,82.0,2.2162162162162162,7.065030019716748,1,2.0,0.5589159582009421,1,11.0,0.3261839053886848,0,14.0,0.4793346213328803,0,0.0,1.0,0,2.0,0.9562151536649998,2,45.0,0.5790317180986922,0,0.0,0.7677390520716976,2,16.0,0.43005907894379825,1,20.0,0.5195999292118791,7,110.0
80.0,11,126.0,3.3157894736842106,7.550625166212462,0,0.0,0.9051704868694207,2,24.0,0.5050433292973772,0,0.0,0.7443187771710527,0,0.0,1.0,0,2.0,0.9413967145866825,2,55.0,0.38768644615353937,2,4.0,0.0015005215620131473,4,36.0,0.43168826814051725,1,20.0,0.6223277728027968,11,141.0
85.0,16,194.0,4.7317073170731705,6.112020823545927,1,0.0,0.7223411807895301,2,34.0,0.6753177180115133,1,1.0,0.4037721296779888,0,0.0,1.0,0,0.0,0.5875849967629114,4,72.0,0.232239696257229,2,14.0,5.1006650327003255e-06,5,61.0,0.3728353698307012,1,25.0,0.07498862379765629,16,207.0
90.0,22,282.0,6.558139534883721,4.126972264702594,0,0.0,0.6609037487655157,4,47.0,0.3726634473013282,1,5.0,0.5798667102598974,0,0.0,1.0,1,4.0,0.00013017654162465408,5,97.0,0.13909896784587897,2,24.0,0.0,6,81.0,0.21294191491976022,3,38.0,0.024123720832513438,22,296.0
95.0,28,413.0,9.177777777777777,3.188018427048281,1,5.0,0.4816639962045983,6,76.0,0.30060566373064146,1,10.0,0.5384952170254221,0,0.0,1.0,1,9.0,0.0,6,127.0,0.0026325254818105296,2,34.0,0.0,7,113.0,0.15736449633258806,4,54.0,0.22938656684547434,28,428.0
100.0,23,376.0,8.0,4.077612415997268,2,14.0,0.22014132146662174,2,49.0,0.37113592964158676,1,15.0,0.581436697488537,0,0.0,1.0,1,14.0,0.0,5,67.0,1.4404063283208544e-05,2,44.0,0.0,7,148.0,0.12001045204482874,3,60.0,0.5131074167608145,23,411.0
105.0,23,453.0,9.06,5.47733630506053,1,13.0,0.619730610384658,3,28.0,0.1046584121775587,1,5.0,0.552844554905049,0,0.0,1.0,1,21.0,0.69955925609909,5,92.0,0.15379722382746006,2,54.0,0.0,7,183.0,0.16612090386489517,3,76.0,0.5967952818159656,23,472.0
110.0,15,418.0,8.038461538461538,6.637106209752929,1,11.0,0.7110189410979612,0,10.0,0.6466268269577722,0,2.0,0.8688379973675648,0,0.0,0.18952361139580537,1,26.0,0.655380644128549,1,66.0,0.6182002842898057,2,64.0,0.0,7,218.0,0.10703918833761122,3,91.0,0.38863271992516885,15,488.0
115.0,19,415.0,7.545454545454546,6.775052953195502,1,18.0,0.3918920044326059,0,2.0,0.8377705176077546,2,5.0,0.5911079375147815,0,0.0,0.8451934157851004,3,34.0,0.5066160737933069,0,16.0,0.8458763664135157,0,0.0,1.0,7,253.0,0.1212768587267282,5,113.0,0.35061115154652345,18,441.0
120.0,25,520.0,9.285714285714286,6.014776428435598,3,30.0,0.48899789441018054,0,0.0,0.9507681146516749,2,13.0,0.6637797448581892,0,0.0,0.9617423969200406,4,58.0,0.5292467549175637,3,24.0,0.28592472947819175,0,0.0,1.0,7,292.0,0.27235447184883815,6,139.0,0.11809321052680127,25,556.0
125.0,28,489.0,8.431034482758621,4.319641699547761,5,46.0,0.36176955140768385,0,0.0,0.9280980103513751,3,25.0,0.43675844403089875,0,0.0,0.9267877680744023,6,77.0,0.2575088518780167,5,44.0,0.1544167718948116,0,0.0,1.0,7,329.0,0.21964668365159562,1,61.0,0.32232945993500656,27,582.0
130.0,28,298.0,4.966666666666667,4.5876540621250195,6,70.0,0.36886635725096373,0,0.0,0.9120186133181638,6,50.0,0.27969892538278074,0,0.0,0.6214927902523306,9,118.0,0.023635411041872504,5,74.0,0.29681193516249554,0,0.0,1.0,1,152.0,0.4448245293744686,1,11.0,0.6708963785836017,28,475.0
135.0,33,443.0,7.145161290322581,4.702345610592541,6,100.0,0.21696816388403625,1,1.0,0.00020530103360132918,6,80.0,0.12090402957393309,1,3.0,0.4884238945778261,11,172.0,0.07704815073184658,5,96.0,0.36256434571578855,1,4.0,0.5884531490813845,0,8.0,0.8679874996191149,2,21.0,0.6233420199947741,33,485.0
140.0,32,542.0,8.603174603174603,4.3704102003846,3,82.0,0.26835482513365744,1,6.0,0.47902346502093435,8,116.0,0.00010780360810267733,1,5.0,0.47289844614978643,11,227.0,0.14485005810557489,6,124.0,0.1803004542646729,0,4.0,0.8019989824266752,0,6.0,0.3542660678558508,2,31.0,0.687344625130134,32,601.0
145.0,40,723.0,10.954545454545455,3.9262087907556182,3,73.0,0.3736113225665162,1,11.0,0.47187285799185164,8,154.0,0.0,2,10.0,0.319631648754788,11,282.0,0.17473649495523066,8,160.0,0.10548938485688948,2,7.0,0.49143058006144835,3,12.0,0.09919311086307803,2,41.0,0.4897302853852088,40,750.0
150.0,36,668.0,9.823529411764707,3.369189546168043,0,11.0,0.37771572016472194,1,16.0,0.163710756180314,2,78.0,0.08927448154649259,1,15.0,0.39171956628959625,11,325.0,0.07671872807195139,8,202.0,0.06943942848999388,2,17.0,0.4280187793057545,3,27.0,0.23177472682606412,8,73.0,0.2295239374263933,36,764.0
155.0,33,585.0,8.23943661971831,4.796808505691899,0,0.0,0.9252198722725379,1,6.0,0.6526020308864647,2,38.0,0.25768982624742137,2,24.0,0.47983316487570793,14,388.0,0.0004010334782510216,1,66.0,0.43999742048728524,3,28.0,0.3241388173955523,1,0.0,0.4565839811662261,9,116.0,0.1883060191748198,33,666.0
160.0,30,683.0,9.48611111111111,6.474535991436099,0,0.0,0.7654974757230177,1,11.0,0.7898151203297562,0,4.0,0.7599214887114676,2,34.0,0.48958520199142114,14,458.0,8.851308841823483e-07,1,22.0,0.6459847849371303,4,49.0,0.4085483170185963,0,2.0,0.7607506265559136,7,147.0,0.38514593895198757,29,727.0
165.0,35,836.0,11.774647887323944,5.303575356455252,2,2.0,0.316604805637546,3,20.0,0.3002841474709228,0,4.0,0.8689613856646359,2,44.0,0.02765870347123446,14,531.0,0.024520225861146733,2,37.0,0.6114624740121946,4,69.0,0.3607711722717311,0,2.0,0.9101802065903312,8,183.0,0.32389084108657695,35,892.0
170.0,35,759.0,10.397260273972602,4.445791322236044,1,7.0,0.6419679579839064,5,41.0,0.15752918862698073,0,0.0,0.6345558498379393,4,62.0,9.470260801262916e-06,6,419.0,0.15372608332171192,3,50.0,0.4822438541206832,6,92.0,0.06000758001928055,1,4.0,0.5899366622208511,9,223.0,0.09029461625204646,35,898.0
175.0,37,904.0,12.053333333333333,4.067124966558122,1,12.0,0.6476960061031622,5,70.0,0.3559625482989334,3,10.0,0.37744851652114897,3,70.0,0.0,6,353.0,0.07984719733526828,1,31.0,0.27898292302747885,6,105.0,0.14004767718954506,1,13.0,0.5206004692116342,11,275.0,0.0434369405705738,37,939.0
180.0,39,1080.0,14.210526315789474,4.550106711767215,1,17.0,0.5845035051571684,5,72.0,0.35284021305086316,0,4.0,0.46894934389502485,3,87.0,0.2342020539687689,7,388.0,0.2778942512138777,3,40.0,0.16164750546004084,5,132.0,0.31899187629753056,3,26.0,0.5243634790420474,11,330.0,0.16031466617566922,38,1096.0
185.0,40,1217.0,16.013157894736842,4.4203014063115935,2,27.0,0.4043201551022974,6,87.0,0.05276664202550322,1,1.0,0.42291590206261664,3,105.0,0.34550450621726336,7,423.0,0.1726707020306033,2,52.0,0.5059143780941306,5,157.0,0.3924415526198328,2,22.0,0.518028975305569,11,385.0,0.23059424918343652,39,1259.0
