step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.741805892682169,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5584035258982485,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.26137381132061493,0,0.0
10.0,0,0.0,0.0,8.249137496676358,0,0.0,1.0,0,0.0,1.0,0,0.0,0.974946226879943,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3445010141906063,0,0.0,1.0,0,0.0,0.5305108094977155,0,0.0
15.0,1,0.0,0.0,9.6508091305606,0,0.0,0.4133268131099092,0,0.0,1.0,1,0.0,0.4557385171322559,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9621798067923114,0,0.0,1.0,0,0.0,0.7810903145470788,1,0.0
20.0,0,0.0,0.0,11.20536822755356,0,0.0,0.9637643298845752,0,0.0,1.0,0,0.0,0.6878427872250112,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5418475799233002,0,0.0,1.0,0,0.0,0.9348461395139029,0,0.0
25.0,1,0.0,0.0,10.20463943403568,0,0.0,0.9576413206235214,0,0.0,0.9035189930089187,0,0.0,0.9189331763733151,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.5857709441581292,0,0.0,0.2334819416099813,0,0.0,0.7610114904776396,1,0.0
30.0,2,5.0,0.3333333333333333,9.542522592247254,0,0.0,0.46820724524261387,0,0.0,0.9623784532190334,0,0.0,0.9186125054823432,0,0.0,0.9620981430765172,0,0.0,1.0,0,0.0,0.4313145973057332,0,0.0,0.662222946087446,0,0.0,0.844499624488434,2,5.0,0.49234903922352,2,5.0
35.0,1,0.0,0.0,8.93119681520591,0,0.0,1.0,0,0.0,0.07829243077259992,0,0.0,0.9269099570659348,0,0.0,0.714746995179513,0,0.0,1.0,0,2.0,0.6607980876878778,0,0.0,0.7975080589438389,1,0.0,0.480068939760329,0,4.0,0.18708639436879598,1,6.0
40.0,2,4.0,0.2,9.591240771874235,0,0.0,0.5330286910975529,1,4.0,0.44803857447068374,1,0.0,0.15062979949508912,0,0.0,1.0,0,0.0,1.0,0,0.0,0.914012863035237,0,0.0,0.8065586114691407,0,0.0,0.8381672038985473,0,0.0,1.0,2,4.0
45.0,4,16.0,0.6956521739130435,8.612061829995493,0,0.0,0.7449067959231289,1,9.0,0.28220170223274016,1,4.0,0.505305071578813,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9511483301444551,1,3.0,0.5065444606640969,0,0.0,0.5798686536182729,1,0.0,0.0,4,16.0
50.0,5,34.0,1.4166666666666667,7.371074173839358,0,0.0,0.6348209546789215,2,16.0,7.01408785826944e-05,1,9.0,0.7991540333522144,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6374829963171248,1,5.0,0.3914223235715822,1,1.0,0.4812438902358977,0,0.0,0.4310904110062016,5,31.0
