step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.724556647322606,0,0.0,1.0,0,0.0,1.0,0,0.0,0.57508873053412,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.25537093919765147,0,0.0
10.0,0,0.0,0.0,7.89445874279649,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9078820455571825,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.368716262277126,0,0.0,1.0,0,0.0,0.5104592662541815,0,0.0
15.0,1,0.0,0.0,9.5189409532152,0,0.0,0.4346538632488996,0,0.0,1.0,1,0.0,0.46714409190351946,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9123052293189685,0,0.0,1.0,0,0.0,0.777311944773482,1,0.0
20.0,0,0.0,0.0,11.17133516313428,0,0.0,0.9423547122939792,0,0.0,1.0,0,0.0,0.7192946444249079,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.562333619242823,0,0.0,1.0,0,0.0,0.9559152124164909,0,0.0
25.0,2,1.0,0.07692307692307693,8.888323863019568,0,0.0,0.929579355479416,0,0.0,1.0,1,1.0,0.6333689707230837,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.6133104711295574,0,0.0,0.2188126184119921,0,0.0,0.7147432832439782,2,1.0
30.0,1,6.0,0.4,9.229157812966408,0,0.0,0.9137121059441816,0,0.0,1.0,1,6.0,0.6315599658681698,0,0.0,0.973665683447241,0,0.0,1.0,0,2.0,0.41895350620791627,0,0.0,0.7408658113798561,0,0.0,0.8320916455444057,0,0.0,0.5166850279688889,1,8.0
35.0,2,11.0,0.6111111111111112,10.5249521906852,0,0.0,1.0,0,0.0,0.8032891802315206,1,11.0,0.6354474037069856,0,0.0,0.9881713290048478,0,0.0,1.0,0,0.0,0.785708738190675,0,0.0,0.8284276284348853,1,0.0,0.4616621371568239,0,0.0,0.9301559776942987,2,11.0
40.0,3,19.0,0.95,9.803877734644484,0,0.0,0.973665683447241,0,0.0,0.9889518958043121,3,19.0,0.07031256641473928,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8950844868160927,0,0.0,0.9369784878911404,0,0.0,0.8852696381235522,0,0.0,1.0,3,19.0
45.0,8,33.0,1.434782608695652,6.612846686403901,0,0.0,0.760238161068683,1,1.0,0.00294118036986703,2,30.0,0.3481309291578097,0,0.0,1.0,0,0.0,1.0,2,4.0,0.4185399574834111,1,1.0,0.7197474773274728,1,1.0,0.7008977268935908,1,0.0,0.0,8,37.0
50.0,8,64.0,2.6666666666666665,6.408148249913651,0,0.0,0.7730129095519729,1,6.0,0.0,2,32.0,0.5690318823152739,0,0.0,1.0,0,0.0,0.9726522176462802,3,18.0,0.23437840699786666,1,6.0,0.2645471000792078,1,6.0,0.6594025455749777,0,0.0,0.48966834935017,8,68.0
55.0,7,82.0,3.1538461538461537,7.531956813701555,0,0.0,0.9294739535724457,1,11.0,0.0,2,42.0,0.583567187423223,0,0.0,1.0,0,0.0,0.9877161072602323,1,25.0,0.37934431273056335,3,20.0,0.29739151976395856,0,0.0,0.9477976980471232,0,0.0,0.9716800616397041,7,98.0
60.0,9,78.0,2.689655172413793,6.505240402763414,0,0.0,0.904259907855421,1,18.0,0.22208428409628475,0,0.0,0.5117354083096574,0,0.0,1.0,0,2.0,0.7177799905811603,3,33.0,0.2190081466165893,4,38.0,0.3565732564601145,1,1.0,0.2267702137756267,0,0.0,0.9741266193898402,9,92.0
65.0,13,112.0,3.5,5.783610582856792,0,0.0,0.965175974279915,1,2.0,0.4937378687847209,2,7.0,0.4859156355566546,0,0.0,1.0,1,4.0,0.5480445996445715,4,51.0,0.30916941867754394,4,58.0,0.26476678082474103,1,6.0,0.4965957442474784,0,0.0,0.5654337388541333,13,128.0
70.0,7,51.0,1.5,7.336319408513319,0,0.0,0.639800365362255,0,2.0,0.9036730515462988,2,19.0,0.6378742094692791,0,0.0,1.0,1,4.0,0.15251234414830184,0,20.0,0.7810697908413498,2,53.0,0.3685981179321547,1,7.0,0.3612068689243682,1,4.0,0.5713542001400214,7,109.0
75.0,9,73.0,1.972972972972973,8.300968877406767,1,0.0,0.6149123782608512,0,0.0,0.9325982377434731,3,34.0,0.5405551304296475,0,2.0,0.9419745239216751,2,13.0,0.0,0,0.0,0.9280578840878144,1,22.0,0.5246655528107018,1,12.0,0.6954256896726582,1,11.0,0.5807765813776393,9,94.0
80.0,9,72.0,1.8461538461538463,7.894765724026772,1,3.0,0.6872567495873805,1,2.0,0.38006211114952043,1,25.0,0.5764904346666084,0,2.0,0.9089303306072335,2,23.0,0.475856658106511,1,1.0,0.3432640653287535,0,0.0,1.0,1,15.0,0.7325911193896499,2,20.0,0.5513772201274152,9,91.0
85.0,14,118.0,2.8780487804878048,5.721686701880742,2,8.0,0.4668087704878296,1,7.0,0.5953204740130902,3,18.0,0.23879933592736077,0,0.0,1.0,2,33.0,0.38577179162201847,1,8.0,0.6473969494129204,0,0.0,1.0,3,24.0,0.5213465774882065,2,24.0,0.019016779008503445,14,122.0
90.0,21,210.0,4.883720930232558,4.834683959018911,3,19.0,0.44546058086634166,1,12.0,0.48912020451723065,5,40.0,0.26259975218801734,0,0.0,1.0,2,43.0,0.119479548199406,1,13.0,0.5971128661898744,0,0.0,1.0,5,47.0,0.3967217040631299,4,42.0,0.029048627565056124,21,216.0
95.0,25,272.0,5.913043478260869,4.0272618440756185,4,35.0,0.32324523871275185,1,17.0,0.6376560743721973,5,65.0,0.28216564534276123,0,0.0,1.0,3,56.0,0.0,3,23.0,0.13941437218156094,0,0.0,1.0,8,82.0,0.29476405709056697,1,20.0,0.28249421847707334,25,298.0
100.0,28,403.0,8.395833333333334,4.632390218366187,5,56.0,0.1479073631265297,1,22.0,0.46505005410563977,5,91.0,0.4855131287148283,0,0.0,1.0,3,71.0,0.0,5,47.0,0.15965453396083412,0,0.0,1.0,9,123.0,0.29631237635790514,0,0.0,0.7222627406343527,28,410.0
105.0,27,501.0,10.02,4.214473059322002,5,80.0,0.18686461810630786,1,27.0,0.37613722260163507,7,119.0,0.2928743098038507,0,0.0,1.0,3,86.0,0.2485401488214082,5,72.0,0.10473856243934848,0,0.0,1.0,6,140.0,0.3082218102838778,0,2.0,0.8271075569773727,27,526.0
110.0,23,463.0,8.903846153846153,4.268728522916115,1,25.0,0.357618018440223,2,35.0,0.0001514798459842565,7,153.0,0.25529042231159854,0,0.0,0.1709372232420566,3,103.0,0.19881845102133638,0,27.0,0.3804652769175475,0,0.0,1.0,10,176.0,0.1174958756748614,0,2.0,0.7267499951425155,23,521.0
