step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.380485081959405,0,0.0,0.9536255378933866,0,0.0,0.9407956616300992,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9539021796444043,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9506691493098214,0,0.0,0.9499143697193031,0,0.0,0.9479528886546242,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9521301189188083,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.546599029952397,0,0.0,0.9826462982295795,0,0.0,0.9808740222875555,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9511283195917134,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9833606631298079,0,0.0,0.9826841880753335,0,0.0,0.9816106213926371,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9577719498534576,0,0.0,1.0,0,0.0
15.0,2,2.0,0.05,11.20794097240466,0,0.0,0.7641091674954615,0,0.0,0.9724591657955706,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6070849939204227,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9542743080815564,0,0.0,0.9554379221495696,0,0.0,0.7624325785990946,0,0.0,0.9447839860356689,0,0.0,0.974109756543284,0,0.0,0.9489140613872372,1,1.0,0.6404323319739765,0,0.0,1.0,2,2.0
20.0,4,13.0,0.23214285714285715,10.553557917731796,2,7.0,0.6547189467831506,0,0.0,0.9440606910097836,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7416244922726032,0,2.0,0.35987369000909647,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9651677780502577,0,0.0,0.9557864069195706,2,6.0,0.6323250558716851,0,0.0,0.929606261105481,0,0.0,0.9699838217927844,0,0.0,0.9364857690058507,0,0.0,0.7089093365057675,0,2.0,0.3628324985502802,4,17.0
25.0,10,50.0,0.6944444444444444,11.256443783524901,5,26.0,0.588020222316702,0,0.0,0.9633849443066066,0,0.0,0.9512156617752724,0,0.0,0.9190278161347367,0,0.0,0.9424007751610328,0,2.0,0.866774098121355,0,0.0,1.0,0,0.0,1.0,0,0.0,0.961464501104716,0,0.0,0.958409205632544,5,24.0,0.4957811861091953,0,0.0,0.8565112409742806,0,0.0,0.9621321298165989,0,0.0,0.9769313459085711,0,0.0,0.9522739313033023,0,2.0,0.8453767316169101,10,54.0
30.0,13,106.0,1.325,10.542339939350406,6,53.0,0.43190353556940086,0,0.0,0.9755873231303375,0,0.0,0.9259806387383104,0,0.0,0.9359062210108396,0,0.0,0.7044036955215159,0,2.0,0.9430765521842849,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9460075741227981,0,0.0,0.9550880759588883,6,52.0,0.4790490501526483,0,0.0,0.9157367590785112,0,0.0,0.9627383321130233,0,0.0,0.971620525939262,1,1.0,0.8201511565531495,0,3.0,0.8397729339795207,13,111.0
35.0,25,198.0,2.0625,8.603779420335357,7,87.0,0.4072822852229656,0,0.0,0.943067793672327,0,0.0,0.949641124767163,0,0.0,0.9409204420484745,2,7.0,0.5550232241554568,2,6.0,0.07193181534315053,0,0.0,0.9226758965041122,0,0.0,0.947645772094973,0,0.0,0.9260475500750046,0,0.0,0.9325868460384422,8,87.0,0.43947334442340136,0,0.0,0.979202899857053,0,0.0,0.9594037602404274,0,0.0,0.9740236144574302,3,8.0,0.5663812703881135,3,8.0,0.4546398680155761,25,203.0
40.0,36,361.0,3.2232142857142856,8.273180193263503,9,130.0,0.39998750613018824,0,0.0,0.9576457340294202,0,0.0,0.956984648967459,0,0.0,0.9189076466468837,5,26.0,0.49237923400842143,4,26.0,0.0028904047688497344,0,0.0,0.9397757485115285,0,0.0,0.9766071466299315,0,0.0,0.9672405626626749,0,0.0,0.9776535504523416,9,131.0,0.3180683953671627,0,0.0,0.9322723419468023,0,0.0,0.9578754708487249,0,0.0,0.9720012422268131,4,25.0,0.5358347003450753,5,29.0,0.4626569623874756,36,367.0
45.0,44,571.0,4.758333333333334,7.7655248395953755,11,184.0,0.31174433290407094,0,0.0,0.9729384236458888,0,0.0,0.9438118060335556,0,0.0,0.9527234705342528,6,53.0,0.2749649721063431,5,51.0,0.3490373713105884,0,0.0,0.9450725738519888,0,0.0,0.9532710062976446,0,0.0,0.9229916227846201,0,0.0,0.9418421934404315,11,184.0,0.2818122742602916,0,0.0,0.9202224331793518,0,0.0,0.913922140654153,0,0.0,0.9719778571844122,6,51.0,0.5283921192394759,5,53.0,0.42009261380052154,44,576.0
50.0,40,563.0,4.139705882352941,7.89114729556782,14,248.0,0.25620479785714123,0,0.0,0.9247073485938981,0,0.0,0.9507148696405825,0,0.0,0.9607852340798013,2,46.0,0.4427100634206007,5,78.0,0.4674601261972429,0,0.0,0.9232563417092681,0,0.0,0.9428812035809377,0,0.0,0.9275375592094827,0,0.0,0.945644887196846,7,175.0,0.3406948457100449,0,0.0,0.9245300397335051,0,0.0,0.9299628155546213,0,0.0,0.931707636008125,7,85.0,0.40661776731494675,5,78.0,0.42119846713232667,40,710.0
