step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.446295089035993,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,7.292006136457226,0,0.0,0.9569393664738511,0,0.0,1.0,0,0.0
15.0,1,0.0,0.0,8.168602351493972,0,0.0,0.3707760794784079,0,0.0,0.6741336299028056,0,0.0
20.0,1,2.0,0.2,6.030898437361939,1,2.0,0.23571247951500982,0,0.0,0.6726888692082313,1,2.0
25.0,3,15.0,1.25,6.304913133607755,2,10.0,0.5181183323992676,1,5.0,0.011208183590235976,3,15.0
30.0,3,21.0,1.4,6.357383922793589,3,21.0,0.3821668399028132,0,0.0,0.7029589847724963,3,21.0
35.0,5,38.0,2.533333333333333,6.290337063007941,4,41.0,0.40204238850241875,1,1.0,0.392365982674411,5,42.0
40.0,6,63.0,3.7058823529411766,6.293987744137586,4,59.0,0.4348452665638326,1,6.0,0.5214234256539053,5,65.0
45.0,8,84.0,4.2,5.189395269390103,5,71.0,0.06333354135445787,2,13.0,0.32867902154434875,7,84.0
50.0,8,123.0,6.473684210526316,6.452416306221714,6,100.0,0.21548537572026463,2,23.0,0.47160743357680557,8,123.0
55.0,9,156.0,9.75,2.862790378997493,7,133.0,0.012428788432214916,2,23.0,0.2439676274154751,9,156.0
60.0,11,209.0,12.294117647058824,3.7911804247099106,8,171.0,6.000928776951135e-06,3,38.0,0.227146383570156,11,209.0
65.0,10,233.0,14.5625,2.8718617690233716,8,211.0,0.04425648442194772,2,22.0,0.021406941447933394,10,233.0
70.0,13,291.0,17.11764705882353,2.056614997399666,9,255.0,0.0,3,36.0,4.5318841446389905e-06,12,291.0
75.0,5,97.0,6.0625,4.445844677133508,3,184.0,0.2541009173554784,2,31.0,3.930328106281754e-06,5,215.0
80.0,4,82.0,4.315789473684211,7.675506037159941,2,64.0,0.311594474406422,2,43.0,0.5611190160043702,4,107.0
85.0,7,103.0,4.904761904761905,7.01448394038494,3,75.0,0.23699324690714174,2,53.0,0.5646847621047261,5,128.0
90.0,7,134.0,6.380952380952381,7.450467870599666,3,90.0,0.40933675891678395,4,69.0,0.4563933851471993,7,159.0
95.0,7,102.0,5.666666666666667,4.95969526527324,2,37.0,0.3177094367944383,5,90.0,0.18410616216586148,7,127.0
100.0,9,98.0,5.157894736842105,5.259285575440221,4,55.0,0.00011027139272764358,4,66.0,0.26628585481135597,8,121.0
105.0,9,138.0,6.9,6.505029315843541,4,77.0,0.3224273621686804,4,86.0,0.0,8,163.0
110.0,7,105.0,5.833333333333333,5.566981077075033,3,81.0,0.217131845448453,3,49.0,0.12385412603179254,6,130.0
115.0,9,144.0,7.578947368421052,5.204251748776027,5,104.0,0.1639924287418911,4,69.0,0.30848611706461765,9,173.0
120.0,7,151.0,7.55,6.139868975193229,3,104.0,0.44122175392357,4,82.0,0.19295687432142533,7,186.0
125.0,10,190.0,8.636363636363637,5.705083496355572,5,113.0,0.174045538796534,4,102.0,0.193937267639906,9,215.0
130.0,12,245.0,12.25,4.404865338645306,8,148.0,0.06219772878916571,4,122.0,0.0,12,270.0
135.0,15,307.0,15.35,2.402347544950743,9,190.0,0.09241543624873857,4,142.0,0.048007472190940655,13,332.0
140.0,9,206.0,10.842105263157896,2.93980324669706,7,204.0,0.014431773182220544,2,112.0,0.24005159374343457,9,316.0
145.0,11,235.0,10.681818181818182,4.531084750213891,9,248.0,1.0983928981258868e-05,1,34.0,0.34982578469589815,10,282.0
150.0,10,81.0,3.5217391304347827,4.229769418510193,4,142.0,0.16540926697385042,2,41.0,0.24097201636010326,6,183.0
155.0,6,46.0,2.0,6.467418180648157,1,68.0,0.5191354684967938,2,51.0,0.4599337198140094,3,119.0
160.0,2,32.0,1.3333333333333333,8.709508532859951,1,36.0,0.5363797395611068,1,37.0,0.5986713493357234,2,73.0
165.0,8,39.0,1.6956521739130435,4.9714684022117135,4,33.0,0.11435629646204368,4,51.0,0.3515779999734963,8,84.0
170.0,14,91.0,3.9565217391304346,3.420731831411127,6,60.0,1.0077853748001838e-05,6,76.0,0.19764346860692703,12,136.0
175.0,13,114.0,5.181818181818182,3.5547463728422217,6,90.0,1.7390716697761306e-06,7,57.0,0.028523056111193504,13,147.0
180.0,10,135.0,6.136363636363637,5.022756098779061,3,91.0,0.21289893820113046,7,81.0,0.2048912511697919,10,172.0
185.0,9,161.0,7.666666666666667,4.900023793714816,3,71.0,0.13585577522831555,6,94.0,0.19326938281310943,9,165.0
190.0,10,187.0,8.5,4.905936161260088,3,65.0,0.49081380461862806,7,128.0,0.2624691824796046,10,193.0
195.0,12,217.0,9.041666666666666,3.745069603165138,4,81.0,0.166822034889474,7,141.0,0.0016780183470634616,11,222.0
200.0,11,192.0,7.68,4.797386462657893,3,17.0,0.05885629706402652,8,181.0,0.07537692072895547,11,198.0
205.0,12,237.0,9.48,5.925249264899196,4,30.0,0.2766501096285376,7,212.0,0.26839255916287996,11,242.0
210.0,11,287.0,11.48,4.931158842057314,4,45.0,0.2029526753883573,7,247.0,0.14271080337741188,11,292.0
215.0,13,347.0,13.88,4.787667963004463,6,70.0,0.05352538209382881,7,280.0,0.0,13,350.0
220.0,14,414.0,19.714285714285715,3.0192498133279906,7,102.0,0.06560095820191456,7,315.0,0.025315000288094205,14,417.0
225.0,14,436.0,18.956521739130434,1.987710124889013,5,101.0,0.059581793488856935,8,353.0,0.1027227831926753,13,454.0
230.0,14,494.0,19.76,4.6672802622249625,5,111.0,0.1535126789756109,8,388.0,0.10201881885414721,13,499.0
235.0,10,465.0,15.0,5.548837774625033,2,79.0,0.4411914133474184,8,428.0,0.29631666023881376,10,507.0
240.0,12,521.0,16.806451612903224,5.985896322723902,2,50.0,0.3187109328335508,10,474.0,0.24121637563724047,12,524.0
245.0,18,593.0,19.766666666666666,3.716405977413214,4,67.0,0.19936679845775465,13,529.0,0.15823134138019226,17,596.0
250.0,19,686.0,22.866666666666667,2.6133635291024033,5,92.0,0.19042177881893774,14,597.0,0.0502990941236951,19,689.0
255.0,20,775.0,25.0,3.2326234323548135,6,122.0,0.2852242593753405,13,656.0,0.0,19,778.0
260.0,19,840.0,25.454545454545453,3.5897799423497934,5,134.0,0.1851383890631314,14,722.0,0.0666011803662323,19,856.0
265.0,22,942.0,29.4375,3.178316733337744,7,152.0,0.00018030984682333885,15,795.0,0.1610970540394467,22,947.0
270.0,25,1056.0,32.0,1.4955753979442379,7,187.0,0.0,17,874.0,0.05608203304562528,24,1061.0
275.0,27,1184.0,32.0,1.972128592812622,7,222.0,0.0,19,967.0,0.02204711545024469,26,1189.0
280.0,18,464.0,12.210526315789474,3.9018290466552283,7,257.0,0.18329265691379734,10,682.0,0.1239460128488205,17,939.0
285.0,16,442.0,11.05,5.974008671201299,7,296.0,0.34478132728515143,7,240.0,0.29936546452979124,14,536.0
290.0,12,197.0,4.5813953488372094,5.966627234495494,0,118.0,0.5259861784750836,9,277.0,0.18058958471393385,9,395.0
295.0,18,278.0,6.619047619047619,6.0511493564904,1,5.0,0.3030709552148903,13,344.0,0.23312121661425825,14,349.0
300.0,14,305.0,7.439024390243903,6.065522986927664,1,10.0,0.609491540317993,8,283.0,0.2782016606944314,9,293.0
305.0,12,365.0,10.13888888888889,6.897817163844798,1,19.0,0.6639287367383648,8,284.0,0.2385856590987274,9,303.0
310.0,14,430.0,11.944444444444445,6.437903725359337,1,24.0,0.538220547753465,9,329.0,0.09785037192579506,10,353.0
315.0,16,481.0,15.03125,4.401322378398163,3,16.0,0.32692829297154535,9,374.0,0.08356744347102088,12,390.0
320.0,16,557.0,18.566666666666666,4.520066690214888,4,27.0,0.30782678117066126,9,419.0,0.10716565689876613,13,446.0
325.0,19,642.0,22.137931034482758,3.394873866121831,5,48.0,0.3009226020798728,10,468.0,7.368568104774955e-07,15,516.0
330.0,12,443.0,15.821428571428571,3.687407713573578,2,22.0,0.25248511851706107,7,429.0,0.09012544210425782,9,451.0
335.0,8,194.0,7.461538461538462,6.487255710529022,3,18.0,0.34018734806641265,4,320.0,0.3847186065466943,7,338.0
340.0,7,31.0,1.1071428571428572,6.102051377374367,2,22.0,0.525339869686403,5,359.0,0.1619205678922829,7,381.0
