step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.502412193819571,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.74034253130061,0,0.0,0.958465930604216,0,0.0,0.9595973969249798,0,0.0
15.0,2,0.0,0.0,5.674016343752293,0,0.0,0.6294074543849345,0,0.0,1.0,0,0.0
20.0,2,3.0,0.375,7.663190459431515,1,3.0,0.0,0,0.0,0.887133761455023,1,3.0
25.0,1,8.0,0.8888888888888888,9.671299634211515,1,8.0,0.5317596176652776,0,0.0,0.892660864785251,1,8.0
30.0,1,13.0,1.1818181818181819,8.102632858429702,1,13.0,0.0,0,0.0,0.8688697686114848,1,13.0
35.0,1,1.0,0.08333333333333333,9.690490794225767,0,0.0,0.8324005385671351,1,1.0,0.2944160329757693,1,1.0
40.0,4,8.0,0.6666666666666666,6.856441076612849,1,2.0,0.6360962070874668,1,8.0,0.47103697333779343,2,10.0
45.0,2,18.0,1.3846153846153846,6.781181415463762,1,7.0,0.23019684956483852,1,13.0,0.5049560368692194,2,20.0
50.0,4,35.0,2.5,5.876113181587367,2,17.0,0.15473293248290584,2,20.0,0.40652672155275604,4,37.0
55.0,6,63.0,4.5,4.926143959527544,3,32.0,0.2044402017600464,3,33.0,0.2393122134803324,6,65.0
60.0,7,97.0,6.466666666666667,3.703552689060879,4,51.0,0.005211876901794344,3,48.0,0.2763294119849527,7,99.0
65.0,7,88.0,5.866666666666666,4.3029306083474,5,75.0,5.438194274302377e-06,1,13.0,0.37576072879770445,6,88.0
70.0,5,59.0,3.4705882352941178,5.810587396557533,3,69.0,0.3925534583737639,2,23.0,0.19817709437755993,5,92.0
75.0,4,70.0,3.6842105263157894,7.787626198345672,2,48.0,0.4136697870807882,2,28.0,0.6161457947930701,4,76.0
80.0,8,100.0,4.761904761904762,5.433371212062822,4,65.0,0.1693815253100035,3,39.0,0.3912388195614998,7,104.0
85.0,10,147.0,6.681818181818182,5.0420970108836665,6,92.0,0.1409659775291063,4,57.0,0.31403714303963115,10,149.0
90.0,13,199.0,8.652173913043478,4.211681559223923,6,124.0,0.123933640571195,5,79.0,0.049325077907251345,11,203.0
95.0,12,257.0,10.708333333333334,4.693133593516127,6,154.0,0.12295874775394354,6,107.0,0.09814328891968396,12,261.0
100.0,11,249.0,9.96,3.9665425024462513,6,169.0,0.07209717082486021,4,108.0,0.13125163170546142,10,277.0
105.0,11,297.0,11.423076923076923,4.68934983725662,6,201.0,0.26016419322355255,4,104.0,0.34575479672293835,10,305.0
110.0,8,155.0,5.7407407407407405,6.249085971710456,5,165.0,0.34407565819846037,2,37.0,0.4117389761996253,7,202.0
115.0,9,198.0,7.071428571428571,6.613428270232045,6,161.0,0.16668573741662993,3,39.0,0.2638390117728131,9,200.0
120.0,7,212.0,7.571428571428571,7.389873794803124,4,168.0,0.21053977218677725,2,46.0,0.28860333845435704,6,214.0
125.0,6,242.0,10.083333333333334,7.81420570686938,4,190.0,0.3934890663837942,2,56.0,0.16645288797694427,6,246.0
130.0,7,275.0,11.956521739130435,8.149990418601876,5,213.0,0.4280901001176908,2,66.0,0.5445456689257466,7,279.0
135.0,10,318.0,15.142857142857142,3.910137909948009,7,243.0,0.17067731939635164,3,79.0,0.1398640177757275,10,322.0
140.0,9,324.0,16.2,4.809258692306959,7,269.0,0.1750905732549201,2,63.0,0.19331088780172398,9,332.0
145.0,11,370.0,17.61904761904762,4.40955133640503,7,306.0,0.1904203568338855,3,68.0,0.00027940568514283763,10,374.0
150.0,7,108.0,4.909090909090909,5.73854950789808,3,56.0,0.20207922158321165,3,83.0,0.0,6,139.0
155.0,4,60.0,2.857142857142857,8.734043068917723,3,40.0,0.3518408765731478,1,24.0,0.7124609293615073,4,64.0
160.0,6,85.0,4.25,7.351157355414226,5,60.0,0.09223191817970704,1,27.0,0.544170029386278,6,87.0
165.0,7,91.0,5.055555555555555,5.9431087309093735,7,91.0,0.12484483213018424,0,0.0,0.9464534720875831,7,91.0
170.0,4,79.0,4.9375,5.988237933214746,4,101.0,0.16776082773719855,0,0.0,0.3246958258289911,4,101.0
175.0,4,93.0,5.8125,6.64705403238593,3,96.0,0.3499182100402834,1,7.0,0.7046540535228643,4,103.0
180.0,6,116.0,7.733333333333333,5.134622914604661,5,112.0,0.0003842958747846515,1,12.0,0.5664575491151921,6,124.0
185.0,7,140.0,8.235294117647058,4.518613208782692,5,137.0,1.6838870642589223e-06,2,11.0,0.5562739494005327,7,148.0
190.0,6,163.0,9.055555555555555,5.521316554710106,4,144.0,0.0,2,21.0,0.1653785885926441,6,165.0
195.0,7,196.0,10.88888888888889,7.023150848827272,4,164.0,0.028621660858340076,3,36.0,0.4689453933009981,7,200.0
200.0,8,233.0,15.533333333333333,3.9475131572063504,5,186.0,0.15177391222997397,3,51.0,0.274440284697611,8,237.0
205.0,10,278.0,17.375,3.160833698702599,6,212.0,0.052589456007411994,4,68.0,0.15752699763717637,10,280.0
210.0,7,96.0,6.857142857142857,3.1318778538025147,1,56.0,0.14847533923011488,6,92.0,0.00034248728240029986,7,148.0
215.0,6,125.0,7.352941176470588,6.17742916639722,1,11.0,0.4558710793379369,5,116.0,0.0,6,127.0
220.0,6,155.0,9.6875,7.261340857952819,1,18.0,0.5991912825504782,5,141.0,0.0,6,159.0
225.0,3,21.0,1.3125,5.567725701968211,1,23.0,0.3765872593914452,0,31.0,0.4583097655182726,1,54.0
230.0,3,31.0,1.9375,8.939367704021535,2,32.0,0.4885634640926665,1,3.0,0.5654454951878218,3,35.0
235.0,3,46.0,2.7058823529411766,7.664466128612762,2,40.0,0.41632773605734236,1,8.0,0.47686689134526133,3,48.0
240.0,7,73.0,4.294117647058823,4.754599106897137,3,50.0,0.20839946080210475,3,23.0,0.11628937083565839,6,73.0
245.0,6,85.0,5.0,5.508915466506595,3,65.0,0.36267354622291564,3,20.0,0.16283912418188531,6,85.0
250.0,8,120.0,7.5,5.113922818806175,4,83.0,0.15875620585304698,4,37.0,0.2705385678439494,8,120.0
255.0,9,165.0,10.3125,4.530911203309906,5,108.0,0.14407673120089168,4,57.0,0.0,9,165.0
260.0,9,210.0,12.352941176470589,5.079811634530832,5,133.0,0.10460152311192561,4,77.0,0.187142671706721,9,210.0
265.0,10,257.0,14.277777777777779,3.6668053029645753,6,160.0,0.22945557624173835,4,97.0,0.255467708636959,10,257.0
270.0,7,240.0,11.428571428571429,4.91325962966044,5,183.0,0.0,2,57.0,0.23062292411642468,7,240.0
275.0,8,279.0,12.681818181818182,6.629543923164624,5,210.0,0.3286189286333513,3,71.0,0.19595352652557269,8,281.0
280.0,8,247.0,11.227272727272727,5.994311981952774,5,235.0,0.15656481564122912,2,44.0,0.3694270853308528,7,279.0
285.0,9,287.0,14.35,5.819815169016341,6,262.0,0.15939868762740048,3,25.0,0.3608147045780887,9,287.0
290.0,9,298.0,13.545454545454545,4.714434542840969,6,292.0,0.1254317826909773,1,6.0,0.47970346637649314,7,298.0
295.0,8,338.0,15.363636363636363,5.814046692239422,7,327.0,0.10219008478700535,1,12.0,0.3354443268612706,8,339.0
300.0,9,363.0,15.782608695652174,5.860380043646738,8,363.0,0.17311196077218033,0,0.0,1.0,8,363.0
305.0,10,408.0,20.4,5.587939867419344,10,412.0,0.22167674577274568,0,0.0,0.9311407432239867,10,412.0
310.0,5,31.0,1.4761904761904763,4.1591713010611375,4,142.0,0.27177313430315714,0,0.0,1.0,4,142.0
315.0,7,57.0,2.375,8.142506400801047,6,59.0,0.06542437401289482,0,4.0,0.946264313871569,6,63.0
320.0,7,74.0,2.740740740740741,8.321406222049179,6,76.0,2.655247545373266e-06,0,4.0,0.8007527427015616,6,80.0
325.0,9,110.0,4.074074074074074,6.130073919837536,6,106.0,0.1553468484509309,3,10.0,0.3219189057702891,9,116.0
330.0,14,168.0,7.0,4.348568702778541,7,139.0,0.11917552526858093,6,35.0,0.36713328248289534,13,174.0
335.0,14,235.0,9.4,3.285858729429741,7,174.0,0.13697729188199476,7,67.0,0.026311336634960276,14,241.0
340.0,14,256.0,9.142857142857142,3.253471122112496,8,214.0,0.09605276512617582,5,71.0,0.14062038237226399,13,285.0
345.0,16,330.0,11.785714285714286,4.3230126966016,10,261.0,0.08608655375409809,6,73.0,0.13031589217836445,16,334.0
350.0,15,230.0,7.666666666666667,3.821624396484326,7,214.0,0.06817854754119602,7,104.0,0.1158496557943551,14,318.0
355.0,11,224.0,7.466666666666667,4.953221650677458,5,156.0,0.12510915111044166,5,130.0,0.273697351609235,10,286.0
360.0,12,280.0,10.0,5.298125513872314,6,186.0,0.20128061407555228,6,149.0,0.31842148280366545,12,335.0
365.0,13,263.0,8.483870967741936,4.594624203953656,8,222.0,0.21334892236306216,5,94.0,0.25191022052425693,13,316.0
370.0,15,332.0,10.709677419354838,5.095497348937598,9,264.0,0.1800812640194577,6,121.0,0.02575731515129067,15,385.0
375.0,12,246.0,8.2,5.087715591465513,8,245.0,0.16575033288206242,4,53.0,0.19134115788162906,12,298.0
380.0,14,313.0,12.038461538461538,4.937496301576662,8,285.0,0.0011032959545714395,6,77.0,0.20230936186830595,14,362.0
385.0,12,314.0,13.083333333333334,3.734239145079936,9,330.0,0.09399388779942495,2,39.0,0.09396007848285054,11,369.0
390.0,13,374.0,16.26086956521739,4.630745889315494,9,377.0,0.21052493621909696,3,48.0,0.22961622586007233,12,425.0
395.0,12,411.0,17.125,5.033446915815126,11,428.0,0.17311874412527706,1,34.0,0.48119166800657354,12,462.0
400.0,13,473.0,21.5,3.8485847484345257,12,485.0,0.08501047532440117,1,39.0,0.3815044240707748,13,524.0
405.0,9,232.0,11.047619047619047,3.4119795643257578,7,354.0,0.09235588134135496,2,48.0,3.6397224332353404e-05,9,402.0
410.0,10,261.0,10.875,6.198863899552014,6,265.0,0.2792871953634245,2,62.0,0.5765848596354259,8,327.0
415.0,8,292.0,12.166666666666666,6.489444774951239,7,289.0,0.0,1,58.0,0.7253358395494627,8,347.0
420.0,9,335.0,14.565217391304348,6.352441843208267,7,324.0,0.1156115326283563,2,64.0,0.5814603725373603,9,388.0
425.0,11,375.0,15.0,4.734500995448208,8,360.0,0.0001951593425241808,2,66.0,0.2725217741533087,10,426.0
430.0,12,432.0,18.782608695652176,4.210024686345536,8,400.0,0.08946573911496923,4,83.0,0.15307496143267368,12,483.0
435.0,15,418.0,16.72,3.4001280891320316,8,434.0,0.04405408259674651,5,35.0,0.04859371233520834,13,469.0
440.0,17,487.0,18.037037037037038,4.107170572429721,9,478.0,0.16845589702440433,6,64.0,0.20070297315654695,15,542.0
445.0,13,510.0,18.214285714285715,3.4764224135070756,9,523.0,0.1312832765867968,3,56.0,0.25793217038906163,12,579.0
450.0,16,583.0,19.433333333333334,3.7818913580561033,12,576.0,0.027048174153264756,3,54.0,0.13253959824471742,15,630.0
455.0,12,366.0,11.806451612903226,4.3574015944299935,7,495.0,0.05105765145436052,4,72.0,0.16411713655226737,11,567.0
460.0,9,252.0,8.4,6.216562825323395,4,310.0,0.2618064480585218,5,96.0,0.253716471619663,9,406.0
465.0,9,201.0,7.178571428571429,6.070479410393125,6,272.0,0.08093281046548938,2,42.0,0.5041930300103684,8,314.0
470.0,13,250.0,9.25925925925926,4.973379083983063,9,309.0,0.006857149996188833,3,32.0,0.29400216565489357,12,341.0
475.0,11,281.0,11.708333333333334,5.488917433791575,7,298.0,0.03274603518617826,3,41.0,0.0019368541400198401,10,339.0
480.0,8,311.0,15.55,6.132094344931792,5,270.0,0.26364934875434615,3,58.0,0.36866722794233125,8,328.0
485.0,6,107.0,5.095238095238095,6.063233509155197,4,199.0,0.09597107896415095,2,46.0,0.5628181850839443,6,245.0
490.0,7,99.0,4.714285714285714,6.1933394913528295,4,87.0,0.09300180347450357,3,60.0,0.12408452641814532,7,147.0
495.0,10,140.0,7.0,5.11883045660748,4,103.0,0.2809676225266771,6,85.0,0.11179102171904674,10,188.0
500.0,12,192.0,10.105263157894736,3.7775688518267003,5,124.0,0.2093705600745142,7,116.0,0.11621109710675315,12,240.0
505.0,9,212.0,11.157894736842104,4.812254160306156,4,123.0,0.12086522302515446,5,132.0,0.11315764448870415,9,255.0
510.0,9,257.0,12.238095238095237,4.55033564894041,4,145.0,0.30711450354132136,5,159.0,0.2537708025425251,9,304.0
515.0,11,248.0,11.272727272727273,4.303334840485814,5,168.0,0.18587558496220055,6,127.0,0.20649996274387272,11,295.0
520.0,17,316.0,11.703703703703704,3.219728354010467,7,200.0,0.20601287498499601,9,161.0,0.05691936816102396,16,361.0
525.0,13,243.0,9.0,4.400656012493108,7,233.0,0.1942630403008458,6,115.0,0.21978838430090902,13,348.0
530.0,13,293.0,9.766666666666667,5.479999457379413,7,268.0,0.007232244508827002,6,78.0,0.23491534169328934,13,346.0
535.0,12,307.0,10.586206896551724,5.984559438838077,8,307.0,0.06441277636303967,4,41.0,0.2096817844722886,12,348.0
540.0,15,372.0,12.827586206896552,5.003369059305098,8,347.0,0.23129323948622646,6,66.0,0.2677756779340717,14,413.0
545.0,14,406.0,14.0,3.881426178263178,7,361.0,0.09345772895455184,7,98.0,0.1417697628674616,14,459.0
550.0,17,487.0,18.037037037037038,3.8947014496968047,8,389.0,0.055362559155492846,9,141.0,0.13831126407613442,17,530.0
555.0,16,542.0,19.357142857142858,2.8318751883412543,9,432.0,0.10976679889900338,7,157.0,0.2647853424249953,16,589.0
560.0,21,635.0,20.483870967741936,2.589754258248729,11,484.0,0.1473384854897868,10,196.0,0.039743376605508224,21,680.0
565.0,17,683.0,20.08823529411765,3.8184467091428425,11,537.0,0.22272109663581843,6,210.0,0.088180608231004,17,747.0
570.0,17,586.0,16.742857142857144,3.612261756499918,8,417.0,0.16983035855086703,7,221.0,0.00815789602326035,15,638.0
575.0,17,665.0,19.0,4.878628909986913,10,414.0,0.12641149686991177,7,256.0,0.06540634997645514,17,670.0
580.0,18,754.0,22.848484848484848,4.790121157045233,11,463.0,0.0716725230257559,7,291.0,0.23750416202081315,18,754.0
585.0,20,835.0,28.79310344827586,3.088535196271614,11,505.0,0.14320549116116896,9,330.0,0.09920815597066197,20,835.0
590.0,20,935.0,33.392857142857146,2.3505655807245653,11,560.0,0.0007550955494213023,9,375.0,0.17980855040369528,20,935.0
595.0,20,1029.0,36.75,2.4995883684333102,12,620.0,0.05693857498703965,8,409.0,0.11026225683039054,20,1029.0
600.0,12,549.0,19.607142857142858,3.9525093593796004,4,280.0,0.24716266219213204,8,449.0,0.0019062256686845072,12,729.0
605.0,14,617.0,22.85185185185185,4.704768611142807,5,123.0,0.125687147558731,9,498.0,0.1760778636810073,14,621.0
610.0,15,692.0,24.714285714285715,4.404489909404399,6,153.0,0.03862876412534361,9,543.0,0.16204540721082272,15,696.0
615.0,18,775.0,29.807692307692307,3.3702347079189243,7,186.0,0.09322523033408066,11,593.0,0.07674976438756889,18,779.0
620.0,19,781.0,32.541666666666664,1.6109615388222247,8,222.0,5.9083439467134514e-05,11,599.0,0.09053777425709424,19,821.0
625.0,20,877.0,35.08,1.5909475356928697,8,264.0,0.1776811971093891,12,619.0,3.0613097093664285e-05,20,883.0
630.0,18,931.0,37.24,2.647456907137868,6,274.0,0.280785040342773,12,679.0,0.061780457993900965,18,953.0
635.0,19,1023.0,39.34615384615385,2.1002190827991205,7,288.0,0.00032239371391549354,12,739.0,0.0011574865962372533,19,1027.0
640.0,16,1010.0,38.84615384615385,3.2602696446296915,6,316.0,0.0,9,738.0,0.18717340138153074,15,1054.0
645.0,17,1088.0,40.2962962962963,3.1287876147757543,6,346.0,0.0,10,746.0,0.07998837847650105,16,1092.0
650.0,16,1157.0,41.32142857142857,3.59964845328759,6,376.0,0.0,10,783.0,0.029358768056612826,16,1159.0
655.0,17,1240.0,44.285714285714285,3.837181445427166,6,408.0,0.2443553157494862,11,836.0,0.08266499148187706,17,1244.0
660.0,20,1332.0,42.96774193548387,2.9170666553294575,8,442.0,0.15517995514561092,12,892.0,0.05096848385158044,20,1334.0
665.0,23,1440.0,48.0,1.6920372771558934,9,485.0,0.07207284894059508,13,954.0,0.06341099767781659,22,1439.0
670.0,23,1530.0,47.8125,2.102205389280418,9,530.0,0.09670295496948814,12,991.0,0.07040735495157487,21,1521.0
675.0,24,1648.0,45.77777777777778,2.834537773376977,9,575.0,0.0069264803446922344,13,1054.0,0.07620715451752971,22,1629.0
