step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,2,0.0,0.0,1.9338530608297637,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,6.6354614471244036,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,9.148518683186786,0,0.0,0.4747714190651569,0,0.0,0.8415887057776176,0,0.0
20.0,5,4.0,0.3333333333333333,5.321348938564948,0,0.0,1.0,2,4.0,0.3781811333457644,2,4.0
25.0,3,18.0,1.3846153846153846,7.141657534561106,0,0.0,0.9607282789050211,3,18.0,0.2777630577777358,3,18.0
30.0,3,33.0,2.2,6.4472632428521335,0,0.0,0.7121690683143955,3,33.0,0.08383164317150996,3,33.0
35.0,3,24.0,1.5,6.849704411444691,1,5.0,0.41974282365388443,2,31.0,0.37287220984036384,3,36.0
40.0,8,51.0,3.0,5.649972145990376,4,21.0,0.3129655260143785,3,32.0,0.46361201197389873,7,53.0
45.0,9,89.0,4.238095238095238,4.576287283430576,5,44.0,0.34681268061507864,3,47.0,0.17870638557435561,8,91.0
50.0,9,130.0,6.190476190476191,5.568816970665522,6,70.0,0.2096901857786414,3,62.0,0.22798870303746835,9,132.0
55.0,9,132.0,6.285714285714286,4.976832809212164,3,50.0,0.21857456493822502,4,82.0,0.316756396685862,7,132.0
60.0,4,93.0,4.428571428571429,6.805501860614007,3,65.0,0.08698258519276837,1,52.0,0.523245618860034,4,117.0
65.0,5,116.0,5.043478260869565,7.6991791068333075,4,87.0,0.5127371062950206,1,35.0,0.42253881004870164,5,122.0
70.0,7,108.0,4.32,6.900858273035149,4,107.0,0.40764870124436825,2,7.0,0.2729775529549787,6,114.0
75.0,7,134.0,6.380952380952381,5.5028922773567395,4,117.0,0.0539796909280458,3,21.0,0.3216481887204085,7,138.0
80.0,11,185.0,8.80952380952381,5.418779091087671,6,147.0,0.0,5,42.0,0.2812698143209703,11,189.0
85.0,8,100.0,5.0,5.043585192062233,3,124.0,0.17810946394640778,5,67.0,0.1651870462767218,8,191.0
90.0,8,122.0,7.176470588235294,5.912838515602543,2,47.0,0.4863643909556524,6,96.0,0.2164917308495623,8,143.0
95.0,8,162.0,8.526315789473685,5.211487997862679,2,42.0,0.3324989793235193,6,126.0,0.37838486169396857,8,168.0
100.0,8,202.0,9.619047619047619,4.834389607813597,2,52.0,0.007738283064078849,6,154.0,0.20376170442415206,8,206.0
105.0,10,249.0,13.105263157894736,4.589750763071085,3,66.0,0.3328414999148996,7,187.0,0.2092601532519381,10,253.0
110.0,10,299.0,14.238095238095237,4.950203408993766,3,81.0,0.12548983258858665,7,222.0,0.2061126769428274,10,303.0
115.0,12,356.0,16.952380952380953,3.5039485913658965,4,101.0,0.19892305451514883,8,259.0,0.05973432944115116,12,360.0
120.0,14,413.0,19.666666666666668,2.4152022421855808,3,111.0,0.004482122099646014,10,306.0,0.04723997572576765,13,417.0
125.0,15,485.0,22.045454545454547,2.9401496088823236,4,130.0,0.1940236463700395,11,361.0,0.12749098499500985,15,491.0
130.0,18,565.0,23.541666666666668,2.25491997064957,5,152.0,0.03926067959275598,12,417.0,0.07132954284105784,17,569.0
135.0,16,461.0,17.73076923076923,2.7879682709444804,6,182.0,0.0,9,406.0,0.07479745373003117,15,588.0
140.0,15,454.0,18.16,3.5282227969786972,6,212.0,0.07757281132861141,9,267.0,0.03965854625891493,15,479.0
145.0,16,533.0,21.32,4.056707602920494,6,242.0,0.13447086128724411,10,293.0,0.11791802442851866,16,535.0
150.0,9,318.0,13.25,4.395726847556407,5,252.0,0.22136646904840668,4,210.0,0.17256953341171277,9,462.0
