step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,2.07197128275875,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,4.369116561352275,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,9.965092438383154,0,0.0,0.96480741858984,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,9.623346849769575,0,0.0,0.8789483775693907,0,0.0,0.8636385971617593,0,0.0
25.0,1,0.0,0.0,9.133655177331173,0,0.0,1.0,0,0.0,0.8749572661327659,0,0.0
30.0,0,0.0,0.0,9.945275620868523,0,0.0,0.9124155786277465,0,0.0,0.9145086634006675,0,0.0
35.0,2,1.0,0.06666666666666667,7.9189389920260815,1,1.0,0.6135164462867208,0,0.0,0.017583294428638225,1,1.0
40.0,3,5.0,0.3333333333333333,7.835309465361149,0,0.0,0.6392344483941058,1,5.0,0.4770165070690178,1,5.0
45.0,3,16.0,1.0666666666666667,7.510758290929151,1,4.0,0.4923691801634202,2,12.0,0.21242414730558956,3,16.0
50.0,3,27.0,2.25,7.2069059659801935,0,0.0,0.7442017861388953,3,27.0,0.17589251664504357,3,27.0
55.0,4,43.0,4.3,6.020912734176214,1,1.0,5.402890730125964e-05,3,44.0,0.2940118748937345,4,45.0
60.0,4,57.0,5.181818181818182,5.47596427222929,0,0.0,1.0,3,57.0,0.29667203983039364,3,57.0
65.0,4,75.0,7.5,5.134862189241391,0,0.0,1.0,4,77.0,0.21562550159638408,4,77.0
70.0,5,98.0,7.0,5.206909004787504,0,0.0,1.0,5,100.0,0.21824016286795342,5,100.0
75.0,4,115.0,7.1875,6.488590793868045,0,0.0,0.8672404085831384,4,115.0,0.07479559805286051,4,115.0
80.0,5,137.0,8.058823529411764,6.496205390580279,0,2.0,0.6156770716708896,5,137.0,0.13181714415384368,5,139.0
85.0,3,15.0,0.8823529411764706,6.560547695355069,2,10.0,0.42975121740815647,1,45.0,0.4850398367951465,3,55.0
90.0,9,42.0,2.3333333333333335,5.081444964896139,5,29.0,0.26161133900025174,4,17.0,0.16917049385637248,9,46.0
95.0,10,87.0,4.578947368421052,4.780671197750082,5,54.0,0.27413358238663654,4,37.0,0.007123503251358529,9,91.0
100.0,11,139.0,8.176470588235293,3.8293689691285135,6,82.0,0.13424131959438929,5,61.0,0.12723851720662702,11,143.0
105.0,9,168.0,9.882352941176471,4.312505367331321,6,112.0,0.0,3,60.0,0.29300978722453425,9,172.0
110.0,7,130.0,7.647058823529412,5.936748940731621,2,65.0,0.08629109498024624,4,78.0,0.3202006472467513,6,143.0
115.0,7,162.0,10.8,4.442591041785729,2,62.0,0.0,5,102.0,0.14558317719005326,7,164.0
