step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,1.994594222609885,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,5.77058977279812,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.004384145161374,0,0.0,0.8221937994830274,0,0.0,0.9564752055984032,0,0.0
20.0,4,1.0,0.09090909090909091,7.380631253087402,1,1.0,0.7218423408553718,0,0.0,0.6201470268635355,1,1.0
25.0,4,12.0,0.9230769230769231,5.463534694795314,2,8.0,0.06723015705806563,1,4.0,0.006507687816323748,3,12.0
30.0,5,36.0,3.0,7.459790342871162,3,22.0,0.30055338056193276,2,14.0,0.31912765325476244,5,36.0
35.0,6,62.0,4.428571428571429,4.952530470669738,4,38.0,0.26807492681007405,2,24.0,0.3116400173821304,6,62.0
40.0,7,90.0,5.0,4.9739331615109545,4,56.0,0.22264895914192886,2,34.0,0.35631736718005247,6,90.0
45.0,7,101.0,5.05,6.954209555498696,6,81.0,0.23534118976927462,1,20.0,0.0,7,101.0
50.0,7,136.0,7.157894736842105,5.521338945593407,6,111.0,0.1387963581202756,1,25.0,0.26739142230350793,7,136.0
55.0,7,171.0,8.55,5.9997841142756565,6,141.0,0.1482866768330786,1,30.0,0.606898084860775,7,171.0
60.0,9,210.0,11.052631578947368,5.3171981744016685,7,175.0,0.25164772486537046,2,36.0,0.5383233347258548,9,211.0
65.0,10,257.0,13.526315789473685,3.9568923984126734,8,212.0,0.17000973057410826,2,46.0,0.0,10,258.0
70.0,7,142.0,7.888888888888889,4.0217328964343695,4,125.0,0.19362278810505992,2,56.0,0.0,6,181.0
75.0,6,172.0,10.117647058823529,7.652034068805979,4,107.0,0.0,2,70.0,0.6239987014254295,6,177.0
80.0,5,190.0,9.047619047619047,7.458593687804565,3,114.0,0.22846684024441755,2,80.0,0.5878033401506063,5,194.0
85.0,9,219.0,10.428571428571429,5.876407485493997,4,130.0,0.22746956666277743,4,91.0,0.3179685549861985,8,221.0
90.0,3,11.0,0.5789473684210527,6.115905899530269,1,7.0,0.3684621129737581,2,10.0,0.22927931939976273,3,17.0
95.0,4,28.0,1.4,8.776915866787622,2,14.0,0.5900810153436733,2,20.0,0.0,4,34.0
100.0,5,40.0,2.1052631578947367,7.825332880623793,3,27.0,0.4081978755912793,1,19.0,0.644575803945064,4,46.0
105.0,5,62.0,4.133333333333334,6.392061294865122,4,44.0,0.24121343485213273,1,24.0,0.0,5,68.0
110.0,7,92.0,6.133333333333334,5.2276125991435185,6,69.0,0.23515448908589023,1,29.0,0.3798474851988528,7,98.0
115.0,9,131.0,8.1875,3.693774221547549,7,103.0,0.19665037431287521,1,34.0,0.0,8,137.0
120.0,8,171.0,10.058823529411764,4.776315700166987,7,138.0,0.14630918042894261,1,39.0,0.44459935256965777,8,177.0
125.0,6,121.0,7.117647058823529,5.4740250817046165,4,93.0,0.3043619710163413,2,46.0,0.41440943247980466,6,139.0
130.0,7,106.0,5.888888888888889,6.372394405175287,4,99.0,0.1383943895647328,2,13.0,0.5493824766214769,6,112.0
135.0,8,141.0,7.05,5.95997877248894,5,124.0,0.19747129772330632,2,23.0,0.48658069749197447,7,147.0
140.0,11,186.0,9.3,4.231037600728909,6,152.0,6.124037941353443e-06,4,38.0,0.12311342332473382,10,190.0
145.0,10,202.0,9.181818181818182,4.8255673118969264,5,146.0,0.0,4,58.0,0.32239863502717797,9,204.0
150.0,8,208.0,9.454545454545455,6.521163261708811,5,171.0,0.23355889008655079,2,37.0,0.30967989173595745,7,208.0
155.0,10,248.0,11.272727272727273,5.92139460124227,7,203.0,0.2025252341214697,2,47.0,0.3069711567649324,9,250.0
160.0,11,295.0,11.8,4.228585782207005,8,239.0,0.16096278477496728,3,58.0,0.02586194843771389,11,297.0
165.0,10,130.0,5.0,4.566833297433782,5,173.0,0.2448761934893848,4,76.0,2.068890481888797e-05,9,249.0
170.0,6,127.0,4.379310344827586,7.086567580497787,4,73.0,0.2536991388572075,2,85.0,0.5037175241534108,6,158.0
175.0,9,161.0,5.75,6.000291951742734,6,84.0,0.08007355190707297,3,88.0,0.46531302997909685,9,172.0
180.0,16,221.0,7.366666666666666,4.228264466728785,10,125.0,0.0003060191752700923,5,107.0,0.08808618210629354,15,232.0
185.0,14,277.0,10.25925925925926,4.200654337116773,7,157.0,0.2257471590407393,7,140.0,5.98109441052571e-06,14,297.0
190.0,15,329.0,12.185185185185185,4.284614924584189,7,169.0,0.19288584902798273,6,168.0,0.37710715531835803,13,337.0
195.0,15,398.0,14.214285714285714,4.597835680449904,8,201.0,2.172411204877967e-05,7,199.0,0.3333009402507428,15,400.0
200.0,15,432.0,14.4,4.622840947542644,8,241.0,0.11048156781902035,6,208.0,0.22858894681203634,14,449.0
205.0,15,503.0,18.62962962962963,4.946917129952649,8,281.0,0.04670313969005496,7,221.0,0.10570562962188497,15,502.0
210.0,7,172.0,7.818181818181818,5.049435622013207,3,140.0,0.0574283521514871,4,171.0,0.05971795967782636,7,311.0
215.0,6,169.0,8.047619047619047,6.8893518762031025,3,123.0,0.3315649997607544,3,84.0,0.4611155248484586,6,207.0
220.0,7,187.0,8.5,7.616915615714379,3,138.0,0.5838319356211948,3,54.0,0.49071598776081826,6,192.0
225.0,9,220.0,10.476190476190476,4.530550903799143,5,155.0,0.1593919298758217,4,68.0,0.2130706932841769,9,223.0
230.0,10,267.0,11.608695652173912,4.371477120299939,6,182.0,0.17712403679101307,4,88.0,0.20056603581596483,10,270.0
235.0,12,321.0,13.375,5.290107350456199,6,212.0,0.12844235068444526,5,112.0,0.13815028415476358,11,324.0
240.0,10,352.0,16.761904761904763,4.550157248441896,4,214.0,0.0,6,141.0,0.16628387740353565,10,355.0
245.0,9,393.0,21.833333333333332,4.517416092747244,4,234.0,0.08963512638623265,5,162.0,0.2378765465035586,9,396.0
250.0,11,446.0,20.272727272727273,3.7463853843229944,5,257.0,5.768985628695287e-05,6,192.0,0.026625889052280374,11,449.0
255.0,8,232.0,10.545454545454545,5.161552550678817,1,104.0,0.17548595471115905,7,225.0,0.11807195680609384,8,329.0
260.0,8,272.0,11.826086956521738,6.556933764213243,1,15.0,0.6464306306384657,7,260.0,0.12782217987374048,8,275.0
265.0,10,313.0,13.608695652173912,5.122126682870009,2,21.0,0.4894195494070726,7,295.0,0.20983796057758303,9,316.0
270.0,10,360.0,16.363636363636363,5.767841137041796,3,33.0,0.47151657396574015,7,330.0,0.29362708938922494,10,363.0
275.0,3,46.0,2.3,6.392665591825336,3,48.0,0.0,0,91.0,0.19017400483056707,3,139.0
280.0,3,33.0,1.5714285714285714,8.604073960242518,2,34.0,0.5655519742847849,1,5.0,0.10008526958253511,3,39.0
285.0,4,52.0,2.736842105263158,8.82064711631544,2,44.0,0.40343158383209143,2,14.0,0.5475653361861071,4,58.0
290.0,7,79.0,5.266666666666667,6.056651681667189,4,60.0,2.4446607762353444e-05,3,25.0,0.0017759191165437323,7,85.0
