step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,4.0437379027018325,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,6.767047219312129,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.008920437069783,0,0.0,1.0,0,0.0,0.9978656736796424,0,0.0
20.0,0,0.0,0.0,6.817941543274394,0,0.0,0.5447269588459519,0,0.0,0.5207555048335795,0,0.0
25.0,1,2.0,0.3333333333333333,5.28822222518492,1,2.0,0.0003986152987924721,0,0.0,0.4673559064440315,1,2.0
30.0,2,12.0,2.0,8.869903565816207,1,9.0,0.6400426306236989,1,5.0,0.45587709403044957,2,14.0
35.0,2,10.0,1.0,4.695730793155262,0,2.0,0.2891923093119943,1,10.0,0.0,1,12.0
40.0,3,24.0,2.1818181818181817,8.023922723071268,2,9.0,0.30558077272506734,1,17.0,0.6561575318936609,3,26.0
45.0,2,30.0,3.0,7.175479190281922,1,10.0,0.5061615244803769,1,22.0,0.5659217451554104,2,32.0
50.0,4,44.0,3.3846153846153846,6.178368424533013,2,17.0,0.329970512990358,2,29.0,0.440284180738585,4,46.0
55.0,5,45.0,3.0,7.063529655248157,2,8.0,0.5703161171121636,2,37.0,0.0,4,45.0
60.0,5,68.0,4.25,6.5844490606659765,3,21.0,0.3342079743893243,2,47.0,0.2714597807088387,5,68.0
65.0,7,101.0,6.3125,4.733481465634963,5,44.0,0.14915876558177693,2,57.0,0.24467327834129088,7,101.0
70.0,10,146.0,9.733333333333333,3.3910764053428193,6,73.0,0.1312326136376285,4,73.0,0.16353184950104277,10,146.0
75.0,7,110.0,6.470588235294118,5.2933625512847104,6,103.0,0.1269262458620986,1,7.0,0.44982563645785995,7,110.0
80.0,3,34.0,1.8888888888888888,7.658791751147529,1,31.0,0.11575251008341608,2,15.0,0.5103932775667028,3,46.0
85.0,4,51.0,3.4,8.257099898422748,1,24.0,0.4574733224268506,3,31.0,0.4808691341116075,4,55.0
90.0,5,73.0,4.294117647058823,6.691062358419709,1,29.0,0.35126731334881656,4,48.0,0.3845524763465046,5,77.0
95.0,9,105.0,6.5625,3.9519181991677352,2,35.0,0.001319533076326608,7,74.0,0.11597365325371764,9,109.0
100.0,5,97.0,6.466666666666667,5.077507295784394,2,45.0,3.804775002551369e-06,3,55.0,0.3140190520517908,5,100.0
105.0,6,74.0,4.111111111111111,6.129357320830206,0,2.0,0.9196851294155989,5,74.0,0.16313677682494593,5,76.0
110.0,7,104.0,5.2,7.051863064802374,1,5.0,0.6176369396991036,6,103.0,0.18332482187077095,7,108.0
115.0,10,146.0,6.636363636363637,5.057181117557359,2,11.0,0.4699800266108462,7,137.0,0.1954546049748508,9,148.0
120.0,9,103.0,4.904761904761905,4.184949258828159,3,23.0,0.03573204974963312,6,129.0,0.15680456960242362,9,152.0
125.0,12,160.0,7.2727272727272725,3.985450019010708,4,42.0,0.12262071696866116,8,118.0,0.14469890955002668,12,160.0
130.0,11,175.0,7.954545454545454,5.020056195698182,2,16.0,0.4707525264012479,9,159.0,0.17484572054882602,11,175.0
135.0,9,122.0,5.083333333333333,5.152795932687816,2,26.0,0.14611089500109228,6,153.0,0.23198149715420305,8,179.0
140.0,4,86.0,3.909090909090909,8.011739547898257,0,14.0,0.71652311583512,4,121.0,0.3366313593572606,4,135.0
