step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.526774868223669,0,0.0,0.9923474951414056,0,0.0
10.0,0,0.0,0.0,13.390971284487014,0,0.0,0.9260103727483394,0,0.0
15.0,0,0.0,0.0,11.834286558876496,0,0.0,0.9918089653640103,0,0.0
20.0,0,0.0,0.0,9.410754668497331,0,0.0,0.5511209652596675,0,0.0
25.0,1,4.0,0.8,9.224601938280033,1,4.0,0.6458673378509376,1,4.0
30.0,2,11.0,1.8333333333333333,8.657519468379759,2,11.0,0.5908746729040592,2,11.0
35.0,2,21.0,4.2,5.824825538100366,2,21.0,0.2918157041430579,2,21.0
40.0,0,0.0,0.0,7.116195655318876,0,3.0,0.6563045527122068,0,3.0
45.0,0,0.0,0.0,7.157349244907368,0,0.0,0.9770366299977442,0,0.0
50.0,0,0.0,0.0,9.36687909500171,0,0.0,0.9928617781650675,0,0.0
55.0,0,0.0,0.0,9.489377722566712,0,0.0,0.6776105885158751,0,0.0
60.0,1,5.0,0.7142857142857143,11.162876949621099,1,5.0,0.6590690658119985,1,5.0
65.0,2,11.0,2.2,7.963951281336664,2,11.0,0.4093466317698318,2,11.0
70.0,3,23.0,4.6,5.679952277455291,3,23.0,0.3978105365691675,3,23.0
75.0,3,38.0,6.333333333333333,4.362907982681662,3,38.0,0.33823440149127365,3,38.0
80.0,4,57.0,8.142857142857142,5.674708937056847,4,57.0,0.420118797543707,4,57.0
85.0,0,0.0,0.0,6.158191901627939,0,22.0,0.42463972816874945,0,22.0
90.0,0,0.0,0.0,6.620013664942041,0,0.0,0.5095376550556812,0,0.0
95.0,0,0.0,0.0,9.276189262695697,0,0.0,0.9840171217594048,0,0.0
100.0,0,0.0,0.0,11.188399345977624,0,0.0,0.9915371022433329,0,0.0
105.0,0,0.0,0.0,11.207459055771993,0,0.0,0.49486135075794857,0,0.0
110.0,0,0.0,0.0,8.581383980972996,0,0.0,0.7140154708285316,0,0.0
115.0,1,3.0,0.75,7.463969787807049,1,3.0,0.6517340563065849,1,3.0
120.0,0,0.0,0.0,9.548687006701043,0,0.0,0.9912853266242747,0,0.0
125.0,0,0.0,0.0,10.425270877589421,0,0.0,0.9731119993379196,0,0.0
130.0,0,0.0,0.0,11.553099681066156,0,0.0,0.9852698969745541,0,0.0
135.0,1,1.0,0.16666666666666666,10.167739636796536,1,1.0,0.6491612431758352,1,1.0
140.0,1,6.0,1.0,8.55733036241392,1,6.0,0.4981385924862335,1,6.0
145.0,0,0.0,0.0,8.551677488416791,0,0.0,0.9607964733834483,0,0.0
150.0,0,0.0,0.0,7.448217836947559,0,0.0,0.685513628413064,0,0.0
155.0,1,1.0,0.14285714285714285,7.731018563901768,1,1.0,0.6607451120372083,1,1.0
160.0,1,6.0,0.8571428571428571,7.224185275192552,1,6.0,0.33354275980131404,1,6.0
165.0,2,16.0,2.2857142857142856,8.127469298226984,2,16.0,0.5087443467403728,2,16.0
170.0,0,0.0,0.0,7.437357649150131,0,2.0,0.6797409816219759,0,2.0
175.0,1,1.0,0.16666666666666666,5.259293515323606,1,1.0,0.49371165166458864,1,1.0
180.0,0,0.0,0.0,7.6450466472297,0,0.0,0.8103813200382938,0,0.0
185.0,1,3.0,0.3333333333333333,9.88811135897449,1,3.0,0.7287246229022295,1,3.0
190.0,2,10.0,1.25,9.592609283020264,2,10.0,0.591122039494759,2,10.0
195.0,2,20.0,3.3333333333333335,6.8925208569491945,2,20.0,0.2656716885394438,2,20.0
200.0,0,0.0,0.0,6.458577105048044,0,3.0,0.48802043930733596,0,3.0
205.0,0,0.0,0.0,7.561807254933906,0,0.0,0.9827284045908873,0,0.0
210.0,0,0.0,0.0,8.141620518687004,0,0.0,0.67323318281792,0,0.0
215.0,1,5.0,0.625,8.751432562291717,1,5.0,0.5146326652871303,1,5.0
